GENE	HGNC_ID	CHROMOSOME	GENE_FUNCTION	ENZYME_CLASS	PHENOTYPE	ACTIVITY_SCORE_RANGE	EXAMPLE_DIPLOTYPE	CPIC_TIER	PHARMVAR_URL	CPIC_GUIDELINE_URL	PMID	NOTES
CYP2C19	HGNC:2621	chr10q24.1-q24.3	Hepatic CYP450 enzyme (CYP2C subfamily); primary metaboliser of clopidogrel (prodrug activation), proton pump inhibitors, voriconazole, and several SSRIs/TCAs	Cytochrome P450 oxidase	Ultrarapid Metabolizer	>2.0	*1/*17 or *17/*17	A	https://www.pharmvar.org/gene/CYP2C19	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	*2 (rs4244285) and *3 (rs4986893) are the major loss-of-function alleles. *17 (rs12248560) is the primary gain-of-function allele (~20% AF in Europeans). Prevalence of Poor Metabolizer phenotype: ~2-5% Europeans, ~15% East Asians.
CYP2C19	HGNC:2621	chr10q24.1-q24.3	Hepatic CYP450 enzyme (CYP2C subfamily); primary metaboliser of clopidogrel (prodrug activation), proton pump inhibitors, voriconazole, and several SSRIs/TCAs	Cytochrome P450 oxidase	Normal Metabolizer	1.25–2.0	*1/*1	A	https://www.pharmvar.org/gene/CYP2C19	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	*2 (rs4244285) and *3 (rs4986893) are the major loss-of-function alleles. *17 (rs12248560) is the primary gain-of-function allele (~20% AF in Europeans). Prevalence of Poor Metabolizer phenotype: ~2-5% Europeans, ~15% East Asians.
CYP2C19	HGNC:2621	chr10q24.1-q24.3	Hepatic CYP450 enzyme (CYP2C subfamily); primary metaboliser of clopidogrel (prodrug activation), proton pump inhibitors, voriconazole, and several SSRIs/TCAs	Cytochrome P450 oxidase	Intermediate Metabolizer	0.5–1.0	*1/*2	A	https://www.pharmvar.org/gene/CYP2C19	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	*2 (rs4244285) and *3 (rs4986893) are the major loss-of-function alleles. *17 (rs12248560) is the primary gain-of-function allele (~20% AF in Europeans). Prevalence of Poor Metabolizer phenotype: ~2-5% Europeans, ~15% East Asians.
CYP2C19	HGNC:2621	chr10q24.1-q24.3	Hepatic CYP450 enzyme (CYP2C subfamily); primary metaboliser of clopidogrel (prodrug activation), proton pump inhibitors, voriconazole, and several SSRIs/TCAs	Cytochrome P450 oxidase	Poor Metabolizer	0	*2/*2	A	https://www.pharmvar.org/gene/CYP2C19	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	*2 (rs4244285) and *3 (rs4986893) are the major loss-of-function alleles. *17 (rs12248560) is the primary gain-of-function allele (~20% AF in Europeans). Prevalence of Poor Metabolizer phenotype: ~2-5% Europeans, ~15% East Asians.
CYP2C9	HGNC:2623	chr10q24.2	Hepatic CYP450 enzyme; major metaboliser of S-warfarin (~75% of clearance), NSAIDs (ibuprofen, celecoxib), phenytoin, and several oral hypoglycaemics (glipizide, tolbutamide)	Cytochrome P450 oxidase	Normal Metabolizer	2.0	*1/*1	A	https://www.pharmvar.org/gene/CYP2C9	https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1-and-cyp4f2/	21900891,28198005	*2 (rs1799853, p.Arg144Cys) and *3 (rs1057910, p.Ile359Leu) are the predominant reduced-function alleles in European populations. CYP2C9*3 reduces enzyme activity by ~95%.
CYP2C9	HGNC:2623	chr10q24.2	Hepatic CYP450 enzyme; major metaboliser of S-warfarin (~75% of clearance), NSAIDs (ibuprofen, celecoxib), phenytoin, and several oral hypoglycaemics (glipizide, tolbutamide)	Cytochrome P450 oxidase	Intermediate Metabolizer	1.0–1.5	*1/*2 or *1/*3	A	https://www.pharmvar.org/gene/CYP2C9	https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1-and-cyp4f2/	21900891,28198005	*2 (rs1799853, p.Arg144Cys) and *3 (rs1057910, p.Ile359Leu) are the predominant reduced-function alleles in European populations. CYP2C9*3 reduces enzyme activity by ~95%.
CYP2C9	HGNC:2623	chr10q24.2	Hepatic CYP450 enzyme; major metaboliser of S-warfarin (~75% of clearance), NSAIDs (ibuprofen, celecoxib), phenytoin, and several oral hypoglycaemics (glipizide, tolbutamide)	Cytochrome P450 oxidase	Poor Metabolizer	0–0.5	*2/*3 or *3/*3	A	https://www.pharmvar.org/gene/CYP2C9	https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1-and-cyp4f2/	21900891,28198005	*2 (rs1799853, p.Arg144Cys) and *3 (rs1057910, p.Ile359Leu) are the predominant reduced-function alleles in European populations. CYP2C9*3 reduces enzyme activity by ~95%.
CYP2D6	HGNC:2625	chr22q13.2	Highly polymorphic hepatic CYP450; metabolises ~25% of all prescribed drugs including codeine (prodrug to morphine), tamoxifen (to endoxifen), TCAs, SSRIs, antipsychotics, and beta-blockers. Gene duplication causes Ultrarapid Metabolizer phenotype.	Cytochrome P450 oxidase	Ultrarapid Metabolizer	>2.0	*1×2/*1	A	https://www.pharmvar.org/gene/CYP2D6	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	Over 150 star alleles defined. *4 (rs3892097) is most common non-functional allele in Europeans (~20% AF). *10 (rs1065852, p.Pro34Ser) predominates in East Asians (~50% AF). *5 is a full gene deletion. Ultrarapid Metabolizers carry gene duplications (*1×N or *2×N).
CYP2D6	HGNC:2625	chr22q13.2	Highly polymorphic hepatic CYP450; metabolises ~25% of all prescribed drugs including codeine (prodrug to morphine), tamoxifen (to endoxifen), TCAs, SSRIs, antipsychotics, and beta-blockers. Gene duplication causes Ultrarapid Metabolizer phenotype.	Cytochrome P450 oxidase	Normal Metabolizer	1.25–2.0	*1/*1	A	https://www.pharmvar.org/gene/CYP2D6	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	Over 150 star alleles defined. *4 (rs3892097) is most common non-functional allele in Europeans (~20% AF). *10 (rs1065852, p.Pro34Ser) predominates in East Asians (~50% AF). *5 is a full gene deletion. Ultrarapid Metabolizers carry gene duplications (*1×N or *2×N).
CYP2D6	HGNC:2625	chr22q13.2	Highly polymorphic hepatic CYP450; metabolises ~25% of all prescribed drugs including codeine (prodrug to morphine), tamoxifen (to endoxifen), TCAs, SSRIs, antipsychotics, and beta-blockers. Gene duplication causes Ultrarapid Metabolizer phenotype.	Cytochrome P450 oxidase	Intermediate Metabolizer	0.5–1.0	*1/*4 or *4/*10	A	https://www.pharmvar.org/gene/CYP2D6	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	Over 150 star alleles defined. *4 (rs3892097) is most common non-functional allele in Europeans (~20% AF). *10 (rs1065852, p.Pro34Ser) predominates in East Asians (~50% AF). *5 is a full gene deletion. Ultrarapid Metabolizers carry gene duplications (*1×N or *2×N).
